saga,rating
Empyrean,4.58
Empyrean,4.37
Empyrean,4.56
Fallen,3.72
Fallen,3.98
Fallen,3.84
Shadowhunters,4.07
Shadowhunters,4.10
Shadowhunters,4.27
Shadowhunters,4.07
Shadowhunters,4.21
Shadowhunters,4.38
Shatter Me,3.84
Shatter Me,4.0999999999999996
Shatter Me,4.45
Vampire Academy,4.10
Vampire Academy,4.25
Vampire Academy,4.33
Vampire Academy,4.3
Vampire Academy,4.32
Vampire Academy,4.3600000000000003
Percy Jackson & the Olympians,4.31
Percy Jackson & the Olympians,4.24
Percy Jackson & the Olympians,4.37
Percy Jackson & the Olympians,4.42
Percy Jackson & the Olympians,4.55
Divergent,4.13
Divergent,3.96
Throne of Glass,4.63
Throne of Glass,4.45
The Maze Runner,3.78
The Maze Runner,4.03
The Maze Runner,3.71
