saga_actual,saga_candidata,similitud
Fallen,The Maze Runner,0.9999997204241762
The Maze Runner,Fallen,0.9999997204241762
Shadowhunters,Vampire Academy,0.9999871330311125
Vampire Academy,Shadowhunters,0.9999871330311125
Empyrean,Throne of Glass,0.999973593192959
Throne of Glass,Empyrean,0.999973593192959
Empyrean,Percy Jackson & the Olympians,0.9999727425987938
Percy Jackson & the Olympians,Empyrean,0.9999727425987938
Shatter Me,Divergent,0.9999623499289935
Divergent,Shatter Me,0.9999623499289935
Vampire Academy,Percy Jackson & the Olympians,0.999955262107284
Percy Jackson & the Olympians,Vampire Academy,0.999955262107284
Shadowhunters,Shatter Me,0.999954316955503
Shatter Me,Shadowhunters,0.999954316955503
Shatter Me,Vampire Academy,0.9998972446956667
Vampire Academy,Shatter Me,0.9998972446956667
Shadowhunters,Percy Jackson & the Olympians,0.9998962475354198
Percy Jackson & the Olympians,Shadowhunters,0.9998962475354198
Percy Jackson & the Olympians,Throne of Glass,0.9998960876193824
Throne of Glass,Percy Jackson & the Olympians,0.9998960876193824
Empyrean,Vampire Academy,0.9998592663858087
Vampire Academy,Empyrean,0.9998592663858087
Shadowhunters,Divergent,0.9998346068453068
Divergent,Shadowhunters,0.9998346068453068
Fallen,Divergent,0.9997713990475594
Divergent,Fallen,0.9997713990475594
Empyrean,Shadowhunters,0.9997629876136378
Shadowhunters,Empyrean,0.9997629876136378
Divergent,The Maze Runner,0.999755131541958
The Maze Runner,Divergent,0.999755131541958
Vampire Academy,Divergent,0.9997352043952823
Divergent,Vampire Academy,0.9997352043952823
Shatter Me,Percy Jackson & the Olympians,0.9997169132175814
Percy Jackson & the Olympians,Shatter Me,0.9997169132175814
Vampire Academy,Throne of Glass,0.9997149949179196
Throne of Glass,Vampire Academy,0.9997149949179196
Shadowhunters,Throne of Glass,0.9995856608274938
Throne of Glass,Shadowhunters,0.9995856608274938
Fallen,Shatter Me,0.9995482237986572
Shatter Me,Fallen,0.9995482237986572
Shatter Me,The Maze Runner,0.999525469727451
The Maze Runner,Shatter Me,0.999525469727451
Empyrean,Shatter Me,0.999516760435144
Shatter Me,Empyrean,0.999516760435144
Percy Jackson & the Olympians,Divergent,0.9994728128812198
Divergent,Percy Jackson & the Olympians,0.9994728128812198
Shatter Me,Throne of Glass,0.9992700402843975
Throne of Glass,Shatter Me,0.9992700402843975
Fallen,Shadowhunters,0.9992183283075886
Shadowhunters,Fallen,0.9992183283075886
Empyrean,Divergent,0.9992096313225041
Divergent,Empyrean,0.9992096313225041
Shadowhunters,The Maze Runner,0.9991885070461317
The Maze Runner,Shadowhunters,0.9991885070461317
Fallen,Vampire Academy,0.9990146574913221
Vampire Academy,Fallen,0.9990146574913221
Vampire Academy,The Maze Runner,0.9989811913149604
The Maze Runner,Vampire Academy,0.9989811913149604
Divergent,Throne of Glass,0.9989009211673959
Throne of Glass,Divergent,0.9989009211673959
Fallen,Percy Jackson & the Olympians,0.9985501568497035
Percy Jackson & the Olympians,Fallen,0.9985501568497035
Percy Jackson & the Olympians,The Maze Runner,0.9985096261105142
The Maze Runner,Percy Jackson & the Olympians,0.9985096261105142
Empyrean,Fallen,0.9981317588668945
Fallen,Empyrean,0.9981317588668945
Empyrean,The Maze Runner,0.9980858031720854
The Maze Runner,Empyrean,0.9980858031720854
Fallen,Throne of Glass,0.9976704064218533
Throne of Glass,Fallen,0.9976704064218533
Throne of Glass,The Maze Runner,0.9976191161526027
The Maze Runner,Throne of Glass,0.9976191161526027
